iter	RMSE
0	1.31595685
1	1.271302202
2	1.222829354
3	1.180484698
4	1.139381959
5	1.098444149
6	1.059697151
7	1.023776245
8	0.9902026483
9	0.9576248858
10	0.9284682682
11	0.9016278339
12	0.8737272432
13	0.8476321391
14	0.8240730868
15	0.8011120096
16	0.7788136404
17	0.7584777051
18	0.7410981976
19	0.7215009275
20	0.7058975664
21	0.6892758007
22	0.6756215882
23	0.6611531934
24	0.6488788597
25	0.6368318823
26	0.6254717331
27	0.6150233975
28	0.6036004816
29	0.594366407
30	0.5855054905
31	0.5771288062
32	0.5689789126
33	0.5616484083
34	0.5545448235
35	0.547581744
36	0.541247254
37	0.5352769366
38	0.5296475084
39	0.5246048889
40	0.5197182869
41	0.5155260137
42	0.509782675
43	0.5056088846
44	0.5020857265
45	0.4986222929
46	0.4954684277
47	0.4924792243
48	0.4893817772
49	0.4868443449
50	0.4839962007
51	0.4819262937
52	0.4795298703
53	0.4767449989
54	0.4743904222
55	0.4722922993
56	0.46981661
57	0.4679563814
58	0.464770564
59	0.4629838842
60	0.4608449264
61	0.459410843
62	0.4563016855
63	0.4544053898
64	0.4524637302
65	0.4501880795
66	0.4487925743
67	0.4468729133
68	0.4460258799
69	0.4437769343
70	0.4427312327
71	0.4413321916
72	0.4399600695
73	0.4377848658
74	0.4365553314
75	0.4360684176
76	0.4351233345
77	0.434652706
78	0.4335623377
79	0.4326751056
80	0.4322949188
81	0.4302294384
82	0.42851138
83	0.4263434703
84	0.4251933956
85	0.4243825578
86	0.4236577882
87	0.4205066269
88	0.4195468525
89	0.4184493099
90	0.4174483456
91	0.4159583793
92	0.4148650174
93	0.4127945544
94	0.4122516011
95	0.4111844448
96	0.410621892
97	0.4095478684
98	0.4082016179
99	0.4073513491
100	0.4065571353
101	0.4050569038
102	0.403985175
103	0.4031318628
104	0.4024092036
105	0.4012238672
106	0.4001408752
107	0.3997401093
108	0.3990794083
109	0.3983838643
110	0.3979214026
111	0.3960770528
112	0.395047464
113	0.3937623076
114	0.3928068604
115	0.3925700941
116	0.3911801002
117	0.3904415768
118	0.3892611225
119	0.3886825639
120	0.3873271633
121	0.3863083195
122	0.38573919
123	0.3839871956
124	0.3832406313
125	0.3829731162
126	0.3827932308
127	0.3819470909
128	0.3811884662
129	0.380705142
130	0.3800132296
131	0.3791648707
132	0.3781693781
133	0.3772854559
134	0.3765149599
135	0.3750805643
136	0.3742506468
137	0.3734473068
138	0.3728914451
139	0.3717299438
140	0.37144046
141	0.3708437335
142	0.3702235003
143	0.3694431264
144	0.3687746312
145	0.3684889437
146	0.3678022572
147	0.3672717866
148	0.3661489715
149	0.365962015
150	0.3651606675
151	0.3646866367
152	0.3642377358
153	0.3630147268
154	0.3626951464
155	0.3619358655
156	0.3614615585
157	0.3612388471
158	0.3602150545
159	0.3591945569
160	0.3586652803
161	0.3580732695
162	0.3567477646
163	0.3560319682
164	0.3557620221
165	0.3550307758
166	0.3545252981
167	0.3540097315
168	0.3537747695
169	0.3533435799
170	0.3527895078
171	0.3520994275
172	0.3516535442
173	0.3513114136
174	0.3508958043
175	0.3506305149
176	0.3498900606
177	0.3490946213
178	0.3488316166
179	0.3477885304
180	0.3471800782
181	0.3467658736
182	0.3465002697
183	0.3456375499
184	0.3454054592
185	0.345210033
186	0.3447559666
187	0.3439668646
188	0.3435491954
189	0.3430869099
190	0.3422651856
191	0.341308234
192	0.3408832115
193	0.3405719131
194	0.340327348
195	0.3401234762
196	0.3399436662
197	0.338970423
198	0.3387952304
199	0.3384582151
