iter	Passed	Remaining
0	1	274
1	2	249
2	4	268
3	5	262
4	6	250
5	7	245
6	8	239
7	9	233
8	10	228
9	11	216
10	12	211
11	13	207
12	14	204
13	15	201
14	16	199
15	17	197
16	18	196
17	19	194
18	20	191
19	21	189
20	21	187
21	23	186
22	23	184
23	24	181
24	25	179
25	26	178
26	27	177
27	28	176
28	29	175
29	30	174
30	31	172
31	32	171
32	33	170
33	34	169
34	35	168
35	36	168
36	37	166
37	39	166
38	40	166
39	41	164
40	42	163
41	43	162
42	44	161
43	45	160
44	46	160
45	47	159
46	48	158
47	49	157
48	50	156
49	52	156
50	53	155
51	54	155
52	55	155
53	57	154
54	58	153
55	59	153
56	60	152
57	62	152
58	63	151
59	64	150
60	65	149
61	66	148
62	67	147
63	69	147
64	70	146
65	71	145
66	72	144
67	73	143
68	75	142
69	76	141
70	77	140
71	78	139
72	79	138
73	81	137
74	82	137
75	82	135
76	84	134
77	84	132
78	86	132
79	87	130
80	87	128
81	88	127
82	90	127
83	91	126
84	92	125
85	93	124
86	94	123
87	95	122
88	97	121
89	98	120
90	99	119
91	100	118
92	101	117
93	103	116
94	104	115
95	105	114
96	106	113
97	107	112
98	108	111
99	110	110
100	111	109
101	112	108
102	113	107
103	114	106
104	116	104
105	117	103
106	118	102
107	119	101
108	120	100
109	121	99
110	122	98
111	124	97
112	125	96
113	126	95
114	127	94
115	128	93
116	130	92
117	131	91
118	132	90
119	133	89
120	134	88
121	136	87
122	137	86
123	138	85
124	140	84
125	141	83
126	142	81
127	143	80
128	144	79
129	145	78
130	146	77
131	148	76
132	149	75
133	150	74
134	151	73
135	153	72
136	154	70
137	155	69
138	156	68
139	158	67
140	159	66
141	160	65
142	161	64
143	163	63
144	164	62
145	165	61
146	166	60
147	167	58
148	169	57
149	170	56
150	171	55
151	172	54
152	173	53
153	175	52
154	176	51
155	177	50
156	178	48
157	179	47
158	180	46
159	182	45
160	183	44
161	184	43
162	185	42
163	186	40
164	187	39
165	188	38
166	189	37
167	190	36
168	191	35
169	192	33
170	193	32
171	194	31
172	195	30
173	196	29
174	197	28
175	198	27
176	199	25
177	200	24
178	201	23
179	202	22
180	203	21
181	204	20
182	205	19
183	206	17
184	207	16
185	208	15
186	209	14
187	210	13
188	211	12
189	212	11
190	213	10
191	214	8
192	215	7
193	216	6
194	217	5
195	218	4
196	219	3
197	221	2
198	222	1
199	222	0
