iter	Logloss
0	0.6723362591
1	0.6552287771
2	0.6407150145
3	0.6282832929
4	0.6182767696
5	0.6091719166
6	0.6014560456
7	0.5948740721
8	0.589388078
9	0.5849127065
10	0.5809359241
11	0.5775392704
12	0.57475971
13	0.5720693093
14	0.570022519
15	0.5682873557
16	0.566525512
17	0.565154666
18	0.5636722438
19	0.5623400219
20	0.5614099051
21	0.5606367177
22	0.5597806593
23	0.5589718819
24	0.5582386194
25	0.5575891541
26	0.5571758437
27	0.5565249335
28	0.5561407474
29	0.5557372932
30	0.5553801942
31	0.5549780603
32	0.5548482372
33	0.5543225244
34	0.5541293894
35	0.5538044615
36	0.5536607276
37	0.5535214165
38	0.5531998358
39	0.5530140629
40	0.5528663681
41	0.5527222963
42	0.5526015294
43	0.5523639955
44	0.5521654787
45	0.5520267151
46	0.5519010399
47	0.5518053393
48	0.5517359515
49	0.5516557675
50	0.5516128067
51	0.5514257817
52	0.5513085942
53	0.5512066395
54	0.5511454797
55	0.551009421
56	0.5509364509
57	0.5508729846
58	0.5508139639
59	0.5507061059
60	0.5506521917
61	0.5505802177
62	0.5505081098
63	0.5504576139
64	0.5503928774
65	0.5503427222
66	0.5502869945
67	0.5502587472
68	0.5502307775
69	0.5502119344
70	0.5501782327
71	0.5500672087
72	0.5499942709
73	0.5499388735
74	0.5498902982
75	0.5498693054
76	0.5497984524
77	0.5497697561
78	0.5497581251
79	0.5496901104
80	0.5496628385
81	0.549627154
82	0.5495917003
83	0.5495563524
84	0.5494949548
85	0.549462549
86	0.5494544991
87	0.5494379319
88	0.5493895712
89	0.5493755906
90	0.5493454083
91	0.5493247685
92	0.549314548
93	0.5492794147
94	0.5492459458
95	0.5492087902
96	0.5491832983
97	0.5491485633
98	0.5490994191
99	0.5490636965
