iter	Passed	Remaining
0	0	174
1	1	146
2	2	133
3	2	128
4	3	126
5	3	125
6	4	123
7	5	121
8	5	120
9	6	122
10	7	124
11	8	130
12	9	131
13	10	133
14	10	134
15	11	134
16	12	134
17	13	134
18	14	134
19	14	134
20	16	137
21	17	138
22	18	141
23	19	141
24	20	141
25	21	141
26	22	142
27	23	142
28	24	143
29	25	144
30	26	143
31	27	143
32	28	142
33	28	141
34	29	140
35	31	142
36	32	141
37	34	146
38	35	147
39	36	146
40	37	145
41	38	145
42	39	143
43	40	142
44	41	141
45	42	141
46	43	141
47	44	139
48	44	138
49	45	137
50	46	136
51	47	135
52	48	133
53	49	134
54	50	133
55	51	132
56	52	132
57	53	131
58	54	130
59	55	129
60	56	128
61	57	127
62	58	126
63	59	125
64	59	124
65	60	123
66	61	122
67	62	121
68	63	120
69	64	119
70	65	119
71	67	119
72	69	120
73	70	120
74	71	119
75	73	119
76	75	120
77	76	119
78	79	121
79	80	120
80	81	119
81	82	118
82	83	117
83	84	116
84	85	115
85	85	113
86	86	112
87	87	111
88	88	110
89	89	109
90	90	108
91	91	107
92	92	106
93	93	105
94	94	104
95	95	103
96	96	102
97	97	101
98	98	100
99	98	98
100	99	97
101	100	96
102	101	95
103	102	94
104	103	93
105	104	92
106	105	91
107	106	90
108	107	90
109	109	89
110	110	88
111	111	87
112	112	86
113	113	85
114	115	85
115	116	84
116	117	83
117	118	82
118	120	81
119	121	81
120	122	80
121	124	79
122	126	78
123	127	78
124	128	77
125	129	76
126	130	75
127	131	74
128	133	73
129	134	72
130	135	71
131	136	70
132	138	69
133	140	68
134	141	67
135	141	66
136	142	65
137	143	64
138	146	64
139	148	63
140	149	62
141	151	61
142	152	60
143	153	59
144	154	58
145	155	57
146	156	56
147	157	55
148	158	54
149	159	53
150	159	51
151	161	50
152	162	49
153	163	48
154	164	47
155	165	46
156	166	45
157	167	44
158	168	43
159	169	42
160	170	41
161	171	40
162	172	39
163	173	38
164	174	37
165	175	35
166	176	34
167	177	33
168	178	32
169	179	31
170	180	30
171	181	29
172	182	28
173	183	27
174	184	26
175	185	25
176	186	24
177	187	23
178	188	22
179	189	21
180	190	20
181	191	18
182	192	17
183	193	16
184	194	15
185	195	14
186	196	13
187	197	12
188	198	11
189	199	10
190	200	9
191	201	8
192	202	7
193	203	6
194	204	5
195	205	4
196	206	3
197	207	2
198	209	1
199	210	0
