feature,importancia_media,importancia_std
day_of_week,0.33929400653589864,0.06046358307765752
is_month_end,0.030146543611118858,0.011338745156675704
dow_sin,0.027713168111229553,0.014316929589987598
es_feriado,0.01900064441943401,0.008286348084786293
is_weekend,0.01648806508754978,0.009848670171178282
dow_cos,0.0037195623981584047,0.002179389060359945
rolling_max_7d,0.002251740492770867,0.0011982832592308294
rolling_std_7d,0.002161521105061855,0.0017721642819375253
lag_7_y_sales_net,0.001487090756964101,0.0004340444701358808
n_clientes_prev,0.0014598683130422267,0.0011379678213455787
rolling_mean_7d,0.0013231239544686895,0.0005968306802044778
lag_90_y_sales_net,0.00043050928108351685,0.0012545698309198018
month_cos,0.0004093621242736637,0.00024699688328924137
rolling_min_7d,0.00038254900606787454,0.0007999922829915098
month_sin,0.000321037219480987,0.00021494453649363414
is_month_start,4.199078809949963e-05,4.3459461196955157e-05
pct_descuento_prom_prev,2.3648940191452657e-05,0.0003911642615211182
expanding_mean,-2.6645352591003756e-16,8.530675149520015e-16
ticket_promedio_prev,-4.0691567021585345e-05,0.0011643945255231198
quarter,-8.208246907606131e-05,0.00015129689074566254
rolling_mean_30d,-0.00015230254562989358,0.00030905755270807354
lag_1_y_sales_net,-0.0002717693644581409,0.0009512477048698578
n_facturas_prev,-0.0002751042551757695,0.008978129012124846
lag_30_y_sales_net,-0.00034437183253431444,0.0010316027631052179
lag_14_y_sales_net,-0.0006118812032787524,0.0007484884539340789
month,-0.0006178781890862369,0.00021865186463315334
